Gender,Work Experience (Years) ,Education,Type of project ,Project budget (Core Npr),Leadership,Personal Characteristics ,Team Development & Delegation ,Communication Skills ,Technical Skills,Planning Skills,Organizational Skills ,Decision Making Skills,Analytical Abilities,Problem Solving/Coping With Siutation,Stakeholder/Relationship Management,Cost Management ,Time Management ,Health & Safety Knowledge ,Overall Competency 
1,15,1,11,70,1,2,2,2,1,2,1,2,1,1,2,2,1,2,2
1,14,2,1,100,2,1,2,1,1,2,2,2,2,2,2,1,2,2,2
1,30,1,2,12,2,2,2,3,2,2,2,3,2,3,3,2,2,3,1
1,6,2,2,11,2,1,2,2,2,2,1,2,1,2,1,2,2,3,2
1,11,2,2,37,1,1,1,1,2,1,2,1,1,1,2,1,1,2,3
1,11,2,2,20,1,1,2,1,1,1,2,2,1,2,1,1,1,2,2
1,21,2,1,35,1,1,1,2,1,2,1,2,1,1,1,1,2,3,2
1,5,2,2,12,2,2,3,2,2,3,2,3,2,2,2,2,2,3,1
1,14,2,2,6,2,2,2,2,2,2,2,2,3,2,2,2,3,3,2
1,12,1,1,30,1,1,1,2,2,1,1,1,2,1,2,2,1,2,2
1,15,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
1,4,2,1,76,1,1,1,1,2,1,2,2,2,1,1,2,1,2,2
1,5,2,2,34,1,2,2,1,2,3,2,2,2,1,1,2,2,2,2
1,9,2,2,80,1,2,1,2,1,1,1,1,1,1,2,2,1,1,2
1,10,1,1,50,1,1,1,1,1,2,2,1,2,1,1,2,1,2,2
1,15,2,3,63,1,1,2,1,2,2,1,1,2,1,1,2,2,2,2
1,20,2,1,23,1,1,1,1,2,2,2,1,1,1,1,2,2,2,2
1,10,2,5,60,1,1,2,2,2,2,1,2,2,1,1,2,2,3,1
1,15,2,3,34,1,1,1,1,1,2,1,1,1,2,1,2,1,2,2
1,6,2,6,26,2,1,2,1,1,2,2,2,2,2,2,1,1,1,2
1,7,2,6,35.5,2,1,2,1,2,2,1,2,2,1,2,2,2,1,2
1,10,2,2,19,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
1,3,2,2,6.5,2,2,2,2,2,2,2,2,2,2,2,3,3,1,1
1,17,2,1,37,1,1,1,2,1,1,1,2,1,1,2,2,2,2,2
1,10,2,1,82,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2
1,16,1,6,81,1,1,1,1,1,2,1,2,1,2,1,1,2,2,2
1,25,1,1,64,1,1,1,2,1,2,1,1,2,1,1,2,2,2,2
1,20,2,1,92,1,1,1,1,2,3,2,2,2,2,2,3,3,2,1
1,5,2,2,16.7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,15,2,2,29.9,2,2,2,1,2,2,2,3,2,2,2,2,2,2,2
1,15,2,10,74,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
1,5,1,2,68.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
1,30,2,2,68,2,2,2,2,2,3,2,2,2,2,2,3,3,3,1
2,3,2,2,15,2,1,2,2,1,1,2,2,2,1,1,1,1,1,3
1,5,2,1,26,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,25,2,2,35,1,2,1,1,2,2,2,1,1,2,1,2,1,2,2
1,15,1,2,20,2,2,2,1,1,1,2,1,2,2,1,2,2,2,2
1,7,2,3,13,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,10,2,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
